Ngày,Thứ,Nguyên liệu,Số lượng bán (kg),Thời tiết,Ngày lễ
2023-01-14,Saturday,Thịt heo,62.0,Mưa,Không
2023-01-14,Saturday,Thịt bò,60.0,Mưa,Không
2023-01-14,Saturday,Thịt lợn,27.0,Mưa,Không
2023-01-14,Saturday,Thịt gà,49.0,Mưa,Không
2023-01-14,Saturday,Thịt cừu,178.0,Nắng,Không
2023-01-14,Saturday,Cá basa,184.0,Nắng,Không
2023-01-14,Saturday,Cá hồi,156.0,Nắng,Không
2023-01-14,Saturday,Cá thu,84.0,Nắng,Không
2023-01-14,Saturday,Cá ngừ,4.0,Mưa,Không
2023-01-14,Saturday,Cá lóc,46.0,Nắng,Không
2023-01-14,Saturday,Tôm sú,5.0,Mưa,Không
2023-01-14,Saturday,Tôm hùm,98.0,Mưa,Không
2023-01-14,Saturday,Mực ống,63.0,Mưa,Không
2023-01-14,Saturday,Mực nang,30.0,Mưa,Không
2023-01-14,Saturday,Cua đồng,170.0,Nắng,Không
2023-01-14,Saturday,Cua biển,55.0,Nắng,Không
2023-01-14,Saturday,Sườn cốt lết,61.0,Nắng,Không
2023-01-14,Saturday,Sườn non,76.0,Mưa,Không
2023-01-14,Saturday,Thăn heo,38.0,Nắng,Không
2023-01-14,Saturday,Thịt ba chỉ,90.0,Nắng,Không
2023-01-14,Saturday,Rau cải,22.0,Mưa,Không
2023-01-14,Saturday,Rau ngót,149.0,Nắng,Không
2023-01-14,Saturday,Rau đay,77.0,Mưa,Không
2023-01-14,Saturday,Rau dền,63.0,Nắng,Không
2023-01-14,Saturday,Rau má,55.0,Mưa,Không
2023-01-14,Saturday,Rau thơm,74.0,Nắng,Không
2023-01-14,Saturday,Rau húng,49.0,Mưa,Không
2023-01-14,Saturday,Rau quế,88.0,Nắng,Không
2023-01-14,Saturday,Rau mùi,4.0,Nắng,Không
2023-01-14,Saturday,Rau tía tô,70.0,Nắng,Không
2023-01-14,Saturday,Cà rốt,16.0,Mưa,Không
2023-01-14,Saturday,Củ cải trắng,19.0,Mưa,Không
2023-01-14,Saturday,Củ cải đỏ,163.0,Nắng,Không
2023-01-14,Saturday,Bí đỏ,124.0,Nắng,Không
2023-01-14,Saturday,Bí xanh,70.0,Mưa,Không
2023-01-14,Saturday,Bí đao,49.0,Nắng,Không
2023-01-14,Saturday,Bí ngô,46.0,Nắng,Không
2023-01-14,Saturday,Bí phấn,84.0,Mưa,Không
2023-01-14,Saturday,Bí đao,22.0,Nắng,Không
2023-01-14,Saturday,Bí ngô,9.0,Nắng,Không
2023-01-14,Saturday,Thịt vịt,81.0,Mưa,Không
2023-01-14,Saturday,Thịt ngan,67.0,Mưa,Không
2023-01-14,Saturday,Thịt ngỗng,78.0,Nắng,Không
2023-01-14,Saturday,Thịt chim,20.0,Nắng,Không
2023-01-14,Saturday,Thịt thỏ,54.0,Mưa,Không
2023-01-14,Saturday,Thịt nai,63.0,Mưa,Không
2023-01-14,Saturday,Thịt đà điểu,95.0,Nắng,Không
2023-01-14,Saturday,Thịt trâu,147.0,Nắng,Không
2023-01-14,Saturday,Thịt dê,130.0,Nắng,Không
2023-01-14,Saturday,Thịt heo rừng,34.0,Mưa,Không
2023-01-14,Saturday,Cá chép,69.0,Nắng,Không
2023-01-14,Saturday,Cá rô phi,99.0,Mưa,Không
2023-01-14,Saturday,Cá trê,74.0,Nắng,Không
2023-01-14,Saturday,Cá bống,26.0,Mưa,Không
2023-01-14,Saturday,Cá cơm,1.0,Nắng,Không
2023-01-14,Saturday,Cá kèo,82.0,Mưa,Không
2023-01-14,Saturday,Cá linh,194.0,Nắng,Không
2023-01-14,Saturday,Cá lăng,104.0,Nắng,Không
2023-01-14,Saturday,Cá mè,9.0,Mưa,Không
2023-01-14,Saturday,Cá trắm,199.0,Nắng,Không
2023-01-14,Saturday,Tôm càng xanh,67.0,Mưa,Không
2023-01-14,Saturday,Tôm đất,38.0,Nắng,Không
2023-01-14,Saturday,Tôm thẻ,76.0,Nắng,Không
2023-01-14,Saturday,Tôm bạc,27.0,Mưa,Không
2023-01-14,Saturday,Mực lá,108.0,Nắng,Không
2023-01-14,Saturday,Mực trứng,69.0,Nắng,Không
2023-01-14,Saturday,Mực cơm,31.0,Mưa,Không
2023-01-14,Saturday,Mực sữa,80.0,Nắng,Không
2023-01-14,Saturday,Cua gạch,59.0,Nắng,Không
2023-01-14,Saturday,Cua thịt,45.0,Mưa,Không
2023-01-14,Saturday,Sườn heo,97.0,Nắng,Không
2023-01-14,Saturday,Sườn bò,98.0,Nắng,Không
2023-01-14,Saturday,Thăn bò,84.0,Nắng,Không
2023-01-14,Saturday,Thịt bò bắp,15.0,Mưa,Không
2023-01-14,Saturday,Thịt bò gân,7.0,Mưa,Không
2023-01-14,Saturday,Thịt bò phi lê,72.0,Mưa,Không
2023-01-14,Saturday,Thịt bò xay,97.0,Nắng,Không
2023-01-14,Saturday,Thịt bò nạc,23.0,Mưa,Không
2023-01-14,Saturday,Thịt bò ba chỉ,46.0,Mưa,Không
2023-01-14,Saturday,Thịt bò thăn nội,74.0,Mưa,Không
2023-01-15,Sunday,Rau muống,24.0,Nắng,Không
2023-01-15,Sunday,Rau mồng tơi,122.0,Nắng,Không
2023-01-15,Sunday,Rau nhút,143.0,Nắng,Không
2023-01-15,Sunday,Rau răm,131.0,Nắng,Không
2023-01-15,Sunday,Dưa leo,164.0,Nắng,Không
2023-01-15,Sunday,Cà chua bi,64.0,Nắng,Không
2023-01-15,Sunday,Cà chua,26.0,Nắng,Không
2023-01-15,Sunday,Khoai tây,164.0,Nắng,Không
2023-01-15,Sunday,Khoai lang,30.0,Nắng,Không
2023-01-15,Sunday,Khoai mì,129.0,Nắng,Không
2023-01-15,Sunday,Thịt heo,177.0,Nắng,Không
2023-01-15,Sunday,Thịt bò,61.0,Nắng,Không
2023-01-15,Sunday,Thịt lợn,52.0,Mưa,Không
2023-01-15,Sunday,Thịt gà,42.0,Nắng,Không
2023-01-15,Sunday,Thịt cừu,26.0,Mưa,Không
2023-01-15,Sunday,Cá basa,97.0,Nắng,Không
2023-01-15,Sunday,Cá hồi,71.0,Mưa,Không
2023-01-15,Sunday,Cá thu,26.0,Mưa,Không
2023-01-15,Sunday,Cá ngừ,101.0,Nắng,Không
2023-01-15,Sunday,Cá lóc,98.0,Mưa,Không
2023-01-15,Sunday,Tôm sú,21.0,Mưa,Không
2023-01-15,Sunday,Tôm hùm,31.0,Mưa,Không
2023-01-15,Sunday,Mực ống,59.0,Mưa,Không
2023-01-15,Sunday,Mực nang,167.0,Nắng,Không
2023-01-15,Sunday,Cua đồng,32.0,Nắng,Không
2023-01-15,Sunday,Cua biển,125.0,Nắng,Không
2023-01-15,Sunday,Sườn cốt lết,30.0,Mưa,Không
2023-01-15,Sunday,Sườn non,20.0,Mưa,Không
2023-01-15,Sunday,Thăn heo,94.0,Mưa,Không
2023-01-15,Sunday,Thịt ba chỉ,12.0,Mưa,Không
2023-01-15,Sunday,Rau cải,23.0,Mưa,Không
2023-01-15,Sunday,Rau ngót,67.0,Mưa,Không
2023-01-15,Sunday,Rau đay,41.0,Nắng,Không
2023-01-15,Sunday,Rau dền,41.0,Mưa,Không
2023-01-15,Sunday,Rau má,82.0,Nắng,Không
2023-01-15,Sunday,Rau thơm,76.0,Nắng,Không
2023-01-15,Sunday,Rau húng,172.0,Nắng,Không
2023-01-15,Sunday,Rau quế,23.0,Mưa,Không
2023-01-15,Sunday,Rau mùi,9.0,Mưa,Không
2023-01-15,Sunday,Rau tía tô,62.0,Nắng,Không
2023-01-15,Sunday,Cà rốt,77.0,Nắng,Không
2023-01-15,Sunday,Củ cải trắng,7.0,Mưa,Không
2023-01-15,Sunday,Củ cải đỏ,12.0,Nắng,Không
2023-01-15,Sunday,Bí đỏ,85.0,Mưa,Không
2023-01-15,Sunday,Bí xanh,48.0,Mưa,Không
2023-01-15,Sunday,Bí đao,40.0,Mưa,Không
2023-01-15,Sunday,Bí ngô,157.0,Nắng,Không
2023-01-15,Sunday,Bí phấn,191.0,Nắng,Không
2023-01-15,Sunday,Bí đao,37.0,Mưa,Không
2023-01-15,Sunday,Bí ngô,24.0,Mưa,Không
2023-01-15,Sunday,Thịt vịt,86.0,Nắng,Không
2023-01-15,Sunday,Thịt ngan,98.0,Mưa,Không
2023-01-15,Sunday,Thịt ngỗng,128.0,Nắng,Không
2023-01-15,Sunday,Thịt chim,44.0,Nắng,Không
2023-01-15,Sunday,Thịt thỏ,191.0,Nắng,Không
2023-01-15,Sunday,Thịt nai,51.0,Nắng,Không
2023-01-15,Sunday,Thịt đà điểu,83.0,Mưa,Không
2023-01-15,Sunday,Thịt trâu,36.0,Nắng,Không
2023-01-15,Sunday,Thịt dê,53.0,Mưa,Không
2023-01-15,Sunday,Thịt heo rừng,39.0,Mưa,Không
2023-01-15,Sunday,Cá chép,173.0,Nắng,Không
2023-01-15,Sunday,Cá rô phi,28.0,Mưa,Không
2023-01-15,Sunday,Cá trê,40.0,Nắng,Không
2023-01-15,Sunday,Cá bống,32.0,Mưa,Không
2023-01-15,Sunday,Cá cơm,32.0,Nắng,Không
2023-01-15,Sunday,Cá kèo,19.0,Mưa,Không
2023-01-15,Sunday,Cá linh,63.0,Mưa,Không
2023-01-15,Sunday,Cá lăng,1.0,Mưa,Không
2023-01-15,Sunday,Cá mè,7.0,Mưa,Không
2023-01-15,Sunday,Cá trắm,1.0,Nắng,Không
2023-01-15,Sunday,Tôm càng xanh,40.0,Mưa,Không
2023-01-15,Sunday,Tôm đất,68.0,Mưa,Không
2023-01-15,Sunday,Tôm thẻ,42.0,Nắng,Không
2023-01-15,Sunday,Tôm bạc,57.0,Nắng,Không
2023-01-15,Sunday,Mực lá,159.0,Nắng,Không
2023-01-15,Sunday,Mực trứng,109.0,Nắng,Không
2023-01-15,Sunday,Mực cơm,50.0,Mưa,Không
2023-01-15,Sunday,Mực sữa,8.0,Nắng,Không
2023-01-15,Sunday,Cua gạch,133.0,Nắng,Không
2023-01-15,Sunday,Cua thịt,95.0,Nắng,Không
2023-01-15,Sunday,Sườn heo,13.0,Mưa,Không
2023-01-15,Sunday,Sườn bò,44.0,Mưa,Không
2023-01-15,Sunday,Thăn bò,174.0,Nắng,Không
2023-01-15,Sunday,Thịt bò bắp,36.0,Nắng,Không
2023-01-15,Sunday,Thịt bò gân,100.0,Nắng,Không
2023-01-15,Sunday,Thịt bò phi lê,87.0,Mưa,Không
2023-01-15,Sunday,Thịt bò xay,93.0,Mưa,Không
2023-01-15,Sunday,Thịt bò nạc,21.0,Mưa,Không
2023-01-15,Sunday,Thịt bò ba chỉ,103.0,Nắng,Không
2023-01-15,Sunday,Thịt bò thăn nội,2.0,Mưa,Không
2023-01-16,Monday,Rau muống,173.0,Nắng,Không
2023-01-16,Monday,Rau mồng tơi,113.0,Nắng,Không
2023-01-16,Monday,Rau nhút,24.0,Mưa,Không
2023-01-16,Monday,Rau răm,143.0,Nắng,Không
2023-01-16,Monday,Dưa leo,88.0,Mưa,Không
2023-01-16,Monday,Cà chua bi,160.0,Nắng,Không
2023-01-16,Monday,Cà chua,173.0,Nắng,Không
2023-01-16,Monday,Khoai tây,109.0,Nắng,Không
2023-01-16,Monday,Khoai lang,17.0,Mưa,Không
2023-01-16,Monday,Khoai mì,96.0,Nắng,Không
2023-01-16,Monday,Thịt heo,46.0,Mưa,Không
2023-01-16,Monday,Thịt bò,181.0,Nắng,Không
2023-01-16,Monday,Thịt lợn,25.0,Mưa,Không
2023-01-16,Monday,Thịt gà,104.0,Nắng,Không
2023-01-16,Monday,Thịt cừu,146.0,Nắng,Không
2023-01-16,Monday,Cá basa,28.0,Nắng,Không
2023-01-16,Monday,Cá hồi,99.0,Mưa,Không
2023-01-16,Monday,Cá thu,8.0,Mưa,Không
2023-01-16,Monday,Cá ngừ,80.0,Mưa,Không
2023-01-16,Monday,Cá lóc,77.0,Mưa,Không
2023-01-16,Monday,Tôm sú,170.0,Nắng,Không
2023-01-16,Monday,Tôm hùm,51.0,Mưa,Không
2023-01-16,Monday,Mực ống,38.0,Mưa,Không
2023-01-16,Monday,Mực nang,1.0,Mưa,Không
2023-01-16,Monday,Cua đồng,113.0,Nắng,Không
2023-01-16,Monday,Cua biển,151.0,Nắng,Không
2023-01-16,Monday,Sườn cốt lết,84.0,Mưa,Không
2023-01-16,Monday,Sườn non,178.0,Nắng,Không
2023-01-16,Monday,Thăn heo,3.0,Mưa,Không
2023-01-16,Monday,Thịt ba chỉ,45.0,Mưa,Không
2023-01-16,Monday,Rau cải,36.0,Mưa,Không
2023-01-16,Monday,Rau ngót,66.0,Mưa,Không
2023-01-16,Monday,Rau đay,166.0,Nắng,Không
2023-01-16,Monday,Rau dền,25.0,Mưa,Không
2023-01-16,Monday,Rau má,62.0,Mưa,Không
2023-01-16,Monday,Rau thơm,5.0,Mưa,Không
2023-01-16,Monday,Rau húng,50.0,Nắng,Không
2023-01-16,Monday,Rau quế,72.0,Mưa,Không
2023-01-16,Monday,Rau mùi,81.0,Mưa,Không
2023-01-16,Monday,Rau tía tô,73.0,Mưa,Không
2023-01-16,Monday,Cà rốt,47.0,Mưa,Không
2023-01-16,Monday,Củ cải trắng,37.0,Mưa,Không
2023-01-16,Monday,Củ cải đỏ,167.0,Nắng,Không
2023-01-16,Monday,Bí đỏ,9.0,Nắng,Không
2023-01-16,Monday,Bí xanh,72.0,Mưa,Không
2023-01-16,Monday,Bí đao,89.0,Mưa,Không
2023-01-16,Monday,Bí ngô,62.0,Nắng,Không
2023-01-16,Monday,Bí phấn,139.0,Nắng,Không
2023-01-16,Monday,Bí đao,73.0,Mưa,Không
2023-01-16,Monday,Bí ngô,43.0,Nắng,Không
2023-01-16,Monday,Thịt vịt,49.0,Nắng,Không
2023-01-16,Monday,Thịt ngan,172.0,Nắng,Không
2023-01-16,Monday,Thịt ngỗng,32.0,Mưa,Không
2023-01-16,Monday,Thịt chim,1.0,Mưa,Không
2023-01-16,Monday,Thịt thỏ,165.0,Nắng,Không
2023-01-16,Monday,Thịt nai,60.0,Mưa,Không
2023-01-16,Monday,Thịt đà điểu,142.0,Nắng,Không
2023-01-16,Monday,Thịt trâu,64.0,Nắng,Không
2023-01-16,Monday,Thịt dê,56.0,Nắng,Không
2023-01-16,Monday,Thịt heo rừng,61.0,Nắng,Không
2023-01-16,Monday,Cá chép,53.0,Nắng,Không
2023-01-16,Monday,Cá rô phi,177.0,Nắng,Không
2023-01-16,Monday,Cá trê,23.0,Mưa,Không
2023-01-16,Monday,Cá bống,98.0,Mưa,Không
2023-01-16,Monday,Cá cơm,75.0,Mưa,Không
2023-01-16,Monday,Cá kèo,69.0,Mưa,Không
2023-01-16,Monday,Cá linh,66.0,Mưa,Không
2023-01-16,Monday,Cá lăng,73.0,Mưa,Không
2023-01-16,Monday,Cá mè,55.0,Mưa,Không
2023-01-16,Monday,Cá trắm,32.0,Nắng,Không
2023-01-16,Monday,Tôm càng xanh,89.0,Mưa,Không
2023-01-16,Monday,Tôm đất,180.0,Nắng,Không
2023-01-16,Monday,Tôm thẻ,59.0,Mưa,Không
2023-01-16,Monday,Tôm bạc,81.0,Mưa,Không
2023-01-16,Monday,Mực lá,61.0,Mưa,Không
2023-01-16,Monday,Mực trứng,65.0,Mưa,Không
2023-01-16,Monday,Mực cơm,31.0,Mưa,Không
2023-01-16,Monday,Mực sữa,77.0,Nắng,Không
2023-01-16,Monday,Cua gạch,50.0,Mưa,Không
2023-01-16,Monday,Cua thịt,98.0,Mưa,Không
2023-01-16,Monday,Sườn heo,38.0,Mưa,Không
2023-01-16,Monday,Sườn bò,118.0,Nắng,Không
2023-01-16,Monday,Thăn bò,122.0,Nắng,Không
2023-01-16,Monday,Thịt bò bắp,118.0,Nắng,Không
2023-01-16,Monday,Thịt bò gân,70.0,Mưa,Không
2023-01-16,Monday,Thịt bò phi lê,6.0,Mưa,Không
2023-01-16,Monday,Thịt bò xay,45.0,Mưa,Không
2023-01-16,Monday,Thịt bò nạc,12.0,Mưa,Không
2023-01-16,Monday,Thịt bò ba chỉ,22.0,Mưa,Không
2023-01-16,Monday,Thịt bò thăn nội,70.0,Mưa,Không
2023-01-17,Tuesday,Rau muống,77.0,Mưa,Không
2023-01-17,Tuesday,Rau mồng tơi,111.0,Nắng,Không
2023-01-17,Tuesday,Rau nhút,82.0,Mưa,Không
2023-01-17,Tuesday,Rau răm,67.0,Nắng,Không
2023-01-17,Tuesday,Dưa leo,32.0,Mưa,Không
2023-01-17,Tuesday,Cà chua bi,44.0,Mưa,Không
2023-01-17,Tuesday,Cà chua,87.0,Mưa,Không
2023-01-17,Tuesday,Khoai tây,92.0,Mưa,Không
2023-01-17,Tuesday,Khoai lang,87.0,Nắng,Không
2023-01-17,Tuesday,Khoai mì,142.0,Nắng,Không
2023-01-17,Tuesday,Thịt heo,17.0,Mưa,Không
2023-01-17,Tuesday,Thịt bò,100.0,Mưa,Không
2023-01-17,Tuesday,Thịt lợn,38.0,Nắng,Không
2023-01-17,Tuesday,Thịt gà,40.0,Mưa,Không
2023-01-17,Tuesday,Thịt cừu,183.0,Nắng,Không
2023-01-17,Tuesday,Cá basa,3.0,Nắng,Không
2023-01-17,Tuesday,Cá hồi,32.0,Mưa,Không
2023-01-17,Tuesday,Cá thu,56.0,Mưa,Không
2023-01-17,Tuesday,Cá ngừ,63.0,Mưa,Không
2023-01-17,Tuesday,Cá lóc,36.0,Nắng,Không
2023-01-17,Tuesday,Tôm sú,50.0,Mưa,Không
2023-01-17,Tuesday,Tôm hùm,12.0,Mưa,Không
2023-01-17,Tuesday,Mực ống,191.0,Nắng,Không
2023-01-17,Tuesday,Mực nang,125.0,Nắng,Không
2023-01-17,Tuesday,Cua đồng,10.0,Nắng,Không
2023-01-17,Tuesday,Cua biển,15.0,Mưa,Không
2023-01-17,Tuesday,Sườn cốt lết,140.0,Nắng,Không
2023-01-17,Tuesday,Sườn non,43.0,Nắng,Không
2023-01-17,Tuesday,Thăn heo,35.0,Mưa,Không
2023-01-17,Tuesday,Thịt ba chỉ,60.0,Nắng,Không
2023-01-17,Tuesday,Rau cải,94.0,Mưa,Không
2023-01-17,Tuesday,Rau ngót,7.0,Mưa,Không
2023-01-17,Tuesday,Rau đay,92.0,Mưa,Không
2023-01-17,Tuesday,Rau dền,180.0,Nắng,Không
2023-01-17,Tuesday,Rau má,71.0,Mưa,Không
2023-01-17,Tuesday,Rau thơm,14.0,Nắng,Không
2023-01-17,Tuesday,Rau húng,81.0,Mưa,Không
2023-01-17,Tuesday,Rau quế,183.0,Nắng,Không
2023-01-17,Tuesday,Rau mùi,43.0,Mưa,Không
2023-01-17,Tuesday,Rau tía tô,95.0,Mưa,Không
2023-01-17,Tuesday,Cà rốt,117.0,Nắng,Không
2023-01-17,Tuesday,Củ cải trắng,24.0,Nắng,Không
2023-01-17,Tuesday,Củ cải đỏ,66.0,Mưa,Không
2023-01-17,Tuesday,Bí đỏ,35.0,Mưa,Không
2023-01-17,Tuesday,Bí xanh,40.0,Mưa,Không
2023-01-17,Tuesday,Bí đao,39.0,Nắng,Không
2023-01-17,Tuesday,Bí ngô,24.0,Mưa,Không
2023-01-17,Tuesday,Bí phấn,14.0,Mưa,Không
2023-01-17,Tuesday,Bí đao,3.0,Mưa,Không
2023-01-17,Tuesday,Bí ngô,51.0,Nắng,Không
2023-01-17,Tuesday,Thịt vịt,82.0,Nắng,Không
2023-01-17,Tuesday,Thịt ngan,22.0,Mưa,Không
2023-01-17,Tuesday,Thịt ngỗng,10.0,Mưa,Không
2023-01-17,Tuesday,Thịt chim,55.0,Mưa,Không
2023-01-17,Tuesday,Thịt thỏ,119.0,Nắng,Không
2023-01-17,Tuesday,Thịt nai,41.0,Nắng,Không
2023-01-17,Tuesday,Thịt đà điểu,99.0,Mưa,Không
2023-01-17,Tuesday,Thịt trâu,25.0,Mưa,Không
2023-01-17,Tuesday,Thịt dê,4.0,Nắng,Không
2023-01-17,Tuesday,Thịt heo rừng,19.0,Nắng,Không
2023-01-17,Tuesday,Cá chép,87.0,Nắng,Không
2023-01-17,Tuesday,Cá rô phi,54.0,Mưa,Không
2023-01-17,Tuesday,Cá trê,10.0,Nắng,Không
2023-01-17,Tuesday,Cá bống,49.0,Nắng,Không
2023-01-17,Tuesday,Cá cơm,28.0,Nắng,Không
2023-01-17,Tuesday,Cá kèo,62.0,Mưa,Không
2023-01-17,Tuesday,Cá linh,98.0,Nắng,Không
2023-01-17,Tuesday,Cá lăng,83.0,Nắng,Không
2023-01-17,Tuesday,Cá mè,191.0,Nắng,Không
2023-01-17,Tuesday,Cá trắm,78.0,Mưa,Không
2023-01-17,Tuesday,Tôm càng xanh,121.0,Nắng,Không
2023-01-17,Tuesday,Tôm đất,114.0,Nắng,Không
2023-01-17,Tuesday,Tôm thẻ,25.0,Mưa,Không
2023-01-17,Tuesday,Tôm bạc,74.0,Mưa,Không
2023-01-17,Tuesday,Mực lá,73.0,Nắng,Không
2023-01-17,Tuesday,Mực trứng,9.0,Nắng,Không
2023-01-17,Tuesday,Mực cơm,88.0,Nắng,Không
2023-01-17,Tuesday,Mực sữa,119.0,Nắng,Không
2023-01-17,Tuesday,Cua gạch,173.0,Nắng,Không
2023-01-17,Tuesday,Cua thịt,74.0,Nắng,Không
2023-01-17,Tuesday,Sườn heo,4.0,Nắng,Không
2023-01-17,Tuesday,Sườn bò,52.0,Nắng,Không
2023-01-17,Tuesday,Thăn bò,118.0,Nắng,Không
2023-01-17,Tuesday,Thịt bò bắp,71.0,Mưa,Không
2023-01-17,Tuesday,Thịt bò gân,5.0,Mưa,Không
2023-01-17,Tuesday,Thịt bò phi lê,14.0,Mưa,Không
2023-01-17,Tuesday,Thịt bò xay,28.0,Nắng,Không
2023-01-17,Tuesday,Thịt bò nạc,137.0,Nắng,Không
2023-01-17,Tuesday,Thịt bò ba chỉ,13.0,Nắng,Không
2023-01-17,Tuesday,Thịt bò thăn nội,13.0,Mưa,Không
2023-01-18,Wednesday,Rau muống,79.0,Mưa,Không
2023-01-18,Wednesday,Rau mồng tơi,2.0,Mưa,Không
2023-01-18,Wednesday,Rau nhút,56.0,Mưa,Không
2023-01-18,Wednesday,Rau răm,89.0,Mưa,Không
2023-01-18,Wednesday,Dưa leo,5.0,Nắng,Không
2023-01-18,Wednesday,Cà chua bi,34.0,Mưa,Không
2023-01-18,Wednesday,Cà chua,18.0,Mưa,Không
2023-01-18,Wednesday,Khoai tây,64.0,Nắng,Không
2023-01-18,Wednesday,Khoai lang,70.0,Mưa,Không
2023-01-18,Wednesday,Khoai mì,198.0,Nắng,Không
2023-01-18,Wednesday,Thịt heo,27.0,Nắng,Không
2023-01-18,Wednesday,Thịt bò,121.0,Mưa,Không
2023-01-18,Wednesday,Thịt lợn,185.0,Nắng,Không
2023-01-18,Wednesday,Thịt gà,56.0,Mưa,Không
2023-01-18,Wednesday,Thịt cừu,79.0,Mưa,Không
2023-01-18,Wednesday,Cá basa,81.0,Mưa,Không
2023-01-18,Wednesday,Cá hồi,48.0,Mưa,Không
2023-01-18,Wednesday,Cá thu,108.0,Nắng,Không
2023-01-18,Wednesday,Cá ngừ,96.0,Nắng,Không
2023-01-18,Wednesday,Cá lóc,24.0,Mưa,Không
2023-01-18,Wednesday,Tôm sú,64.0,Nắng,Không
2023-01-18,Wednesday,Tôm hùm,45.0,Nắng,Không
2023-01-18,Wednesday,Mực ống,91.0,Nắng,Không
2023-01-18,Wednesday,Mực nang,156.0,Nắng,Không
2023-01-18,Wednesday,Cua đồng,52.0,Mưa,Không
2023-01-18,Wednesday,Cua biển,108.0,Nắng,Không
2023-01-18,Wednesday,Sườn cốt lết,99.0,Mưa,Không
2023-01-18,Wednesday,Sườn non,34.0,Mưa,Không
2023-01-18,Wednesday,Thăn heo,65.0,Nắng,Không
2023-01-18,Wednesday,Thịt ba chỉ,23.0,Mưa,Không
2023-01-18,Wednesday,Rau cải,78.0,Nắng,Không
2023-01-18,Wednesday,Rau ngót,184.0,Nắng,Không
2023-01-18,Wednesday,Rau đay,85.0,Mưa,Không
2023-01-18,Wednesday,Rau dền,160.0,Nắng,Không
2023-01-18,Wednesday,Rau má,56.0,Nắng,Không
2023-01-18,Wednesday,Rau thơm,55.0,Mưa,Không
2023-01-18,Wednesday,Rau húng,29.0,Mưa,Không
2023-01-18,Wednesday,Rau quế,168.0,Nắng,Không
2023-01-18,Wednesday,Rau mùi,39.0,Mưa,Không
2023-01-18,Wednesday,Rau tía tô,143.0,Nắng,Không
2023-01-18,Wednesday,Cà rốt,139.0,Nắng,Không
2023-01-18,Wednesday,Củ cải trắng,21.0,Mưa,Không
2023-01-18,Wednesday,Củ cải đỏ,124.0,Nắng,Không
2023-01-18,Wednesday,Bí đỏ,17.0,Nắng,Không
2023-01-18,Wednesday,Bí xanh,60.0,Mưa,Không
2023-01-18,Wednesday,Bí đao,5.0,Mưa,Không
2023-01-18,Wednesday,Bí ngô,69.0,Mưa,Không
2023-01-18,Wednesday,Bí phấn,75.0,Nắng,Không
2023-01-18,Wednesday,Bí đao,89.0,Mưa,Không
2023-01-18,Wednesday,Bí ngô,47.0,Mưa,Không
2023-01-18,Wednesday,Thịt vịt,70.0,Nắng,Không
2023-01-18,Wednesday,Thịt ngan,121.0,Nắng,Không
2023-01-18,Wednesday,Thịt ngỗng,55.0,Mưa,Không
2023-01-18,Wednesday,Thịt chim,135.0,Nắng,Không
2023-01-18,Wednesday,Thịt thỏ,28.0,Mưa,Không
2023-01-18,Wednesday,Thịt nai,177.0,Nắng,Không
2023-01-18,Wednesday,Thịt đà điểu,165.0,Nắng,Không
2023-01-18,Wednesday,Thịt trâu,158.0,Nắng,Không
2023-01-18,Wednesday,Thịt dê,89.0,Nắng,Không
2023-01-18,Wednesday,Thịt heo rừng,73.0,Nắng,Không
2023-01-18,Wednesday,Cá chép,122.0,Nắng,Không
2023-01-18,Wednesday,Cá rô phi,140.0,Nắng,Không
2023-01-18,Wednesday,Cá trê,21.0,Mưa,Không
2023-01-18,Wednesday,Cá bống,28.0,Nắng,Không
2023-01-18,Wednesday,Cá cơm,46.0,Mưa,Không
2023-01-18,Wednesday,Cá kèo,152.0,Nắng,Không
2023-01-18,Wednesday,Cá linh,57.0,Mưa,Không
2023-01-18,Wednesday,Cá lăng,125.0,Nắng,Không
2023-01-18,Wednesday,Cá mè,26.0,Mưa,Không
2023-01-18,Wednesday,Cá trắm,8.0,Mưa,Không
2023-01-18,Wednesday,Tôm càng xanh,115.0,Nắng,Không
2023-01-18,Wednesday,Tôm đất,64.0,Mưa,Không
2023-01-18,Wednesday,Tôm thẻ,46.0,Mưa,Không
2023-01-18,Wednesday,Tôm bạc,10.0,Mưa,Không
2023-01-18,Wednesday,Mực lá,62.0,Nắng,Không
2023-01-18,Wednesday,Mực trứng,93.0,Mưa,Không
2023-01-18,Wednesday,Mực cơm,148.0,Nắng,Không
2023-01-18,Wednesday,Mực sữa,105.0,Nắng,Không
2023-01-18,Wednesday,Cua gạch,47.0,Mưa,Không
2023-01-18,Wednesday,Cua thịt,25.0,Nắng,Không
2023-01-18,Wednesday,Sườn heo,24.0,Nắng,Không
2023-01-18,Wednesday,Sườn bò,108.0,Nắng,Không
2023-01-18,Wednesday,Thăn bò,106.0,Nắng,Không
2023-01-18,Wednesday,Thịt bò bắp,23.0,Nắng,Không
2023-01-18,Wednesday,Thịt bò gân,66.0,Nắng,Không
2023-01-18,Wednesday,Thịt bò phi lê,44.0,Mưa,Không
2023-01-18,Wednesday,Thịt bò xay,144.0,Nắng,Không
2023-01-18,Wednesday,Thịt bò nạc,60.0,Mưa,Không
2023-01-18,Wednesday,Thịt bò ba chỉ,71.0,Mưa,Không
2023-01-18,Wednesday,Thịt bò thăn nội,4.0,Nắng,Không
